,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
0,56,560031,9,95,No Driver Present/Unknown if Driver Present
1,56,560031,11,0,No Obstruction Noted
2,56,560031,5,0,No Obstruction Noted
3,56,560031,6,0,No Obstruction Noted
4,56,560031,7,0,No Obstruction Noted
5,56,560031,10,0,No Obstruction Noted
6,56,560031,12,0,No Obstruction Noted
7,56,560031,13,0,No Obstruction Noted
8,56,560031,14,0,No Obstruction Noted
9,56,560031,15,0,No Obstruction Noted
10,56,560031,16,0,No Obstruction Noted
11,56,560031,17,0,No Obstruction Noted
12,56,560031,18,0,No Obstruction Noted
13,56,560031,19,0,No Obstruction Noted
14,10,100006,5,0,No Obstruction Noted
15,10,100011,5,0,No Obstruction Noted
16,10,100011,6,0,No Obstruction Noted
17,10,100079,5,0,No Obstruction Noted
18,10,100079,6,0,No Obstruction Noted
19,2,20035,5,0,No Obstruction Noted
20,2,20035,6,0,No Obstruction Noted
21,38,380097,5,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
22,38,380091,5,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
23,46,460113,1,95,No Driver Present/Unknown if Driver Present
24,50,500015,1,95,No Driver Present/Unknown if Driver Present
25,10,100079,1,95,No Driver Present/Unknown if Driver Present
26,10,100121,1,95,No Driver Present/Unknown if Driver Present
27,33,330095,1,95,No Driver Present/Unknown if Driver Present
28,46,460074,1,98,Other Visual Obstruction
29,46,460106,1,98,Other Visual Obstruction
30,15,150025,1,98,Other Visual Obstruction
31,15,150032,1,98,Other Visual Obstruction
32,2,20032,1,98,Other Visual Obstruction
33,2,20034,1,98,Other Visual Obstruction
34,23,230005,1,98,Other Visual Obstruction
35,23,230129,1,98,Other Visual Obstruction
36,44,440002,1,3,"Curve, Hill, or Other Roadway Design Features"
37,44,440001,1,3,"Curve, Hill, or Other Roadway Design Features"
38,44,440013,1,3,"Curve, Hill, or Other Roadway Design Features"
39,38,380016,1,3,"Curve, Hill, or Other Roadway Design Features"
40,56,560088,1,3,"Curve, Hill, or Other Roadway Design Features"
41,44,440025,1,3,"Curve, Hill, or Other Roadway Design Features"
42,23,230122,1,99,Unknown
43,33,330024,1,99,Unknown
44,46,460028,1,99,Unknown
45,10,100116,1,99,Unknown
46,11,110010,1,99,Unknown
47,11,110004,1,99,Unknown
48,10,100117,1,99,Unknown
49,10,100114,1,99,Unknown
50,10,100113,1,99,Unknown
51,10,100085,1,99,Unknown
52,10,100065,1,99,Unknown
53,2,20043,1,99,Unknown
54,2,20033,1,99,Unknown
55,15,150055,1,99,Unknown
56,15,150045,1,99,Unknown
57,15,150007,1,99,Unknown
58,15,150057,1,99,Unknown
59,15,150088,1,99,Unknown
